ccle	efo
LU135_LUNG	EFO_0002828
LXF289_LUNG	EFO_0006641
M059J_CENTRAL_NERVOUS_SYSTEM	EFO_0005697
M059K_CENTRAL_NERVOUS_SYSTEM	EFO_0006451
M14_SKIN	EFO_0003056
MALME3M_SKIN	EFO_0002243
MC116_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	EFO_0002228
MCAS_OVARY	EFO_0006453
MCCAR_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	EFO_0002229
MCF7_BREAST	EFO_0001203
MCIXC_AUTONOMIC_GANGLIA	EFO_0002230
MDAMB134VI_BREAST	EFO_0001205
MDAMB157_BREAST	EFO_0001206
MDAMB175VII_BREAST	EFO_0001208
MDAMB231_BREAST	EFO_0001209
MDAMB330_BREAST	EFO_0006454
MDAMB361_BREAST	EFO_0001211
MDAMB415_BREAST	EFO_0001212
MDAMB436_BREAST	EFO_0001214
MDAMB453_BREAST	EFO_0001215
MDAMB468_BREAST	EFO_0001216
MDST8_LARGE_INTESTINE	EFO_0006644
ME180_CERVIX	EFO_0006646
ME1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	EFO_0006645
MEC1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	EFO_0002231
MEC2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	EFO_0006285
MEG01_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	EFO_0002232
MELHO_SKIN	EFO_0006647
MESSA_SOFT_TISSUE	EFO_0002233
MEWO_SKIN	EFO_0006648
MFM223_BREAST	EFO_0006649
MG63_BONE	EFO_0002234
MHHES1_BONE	EFO_0006650
MHHNB11_AUTONOMIC_GANGLIA	EFO_0006651
MHHPREB1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	EFO_0002235
MIAPACA2_PANCREAS	EFO_0002236
MJ_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	EFO_0002237
MKN1_STOMACH	EFO_0002830
MKN28_STOMACH	EFO_0002831
MKN45_STOMACH	EFO_0002832
MKN74_STOMACH	EFO_0002834
MKN7_STOMACH	EFO_0002895
